projectEmail,teamName,categoryApplied,BegginerFriendly
aayushgarg@umass.edu,SoarAI,Aerospace Engineering,TRUE
aayushgarg@umass.edu,NeuralByte,AI/ML,FALSE
aayushgarg@umass.edu,GreenGrid,Energy & Sustainability,TRUE
aayushgarg@umass.edu,Structura,Hardware Hack,FALSE
aayushgarg@umass.edu,QuantumLoop,Open Innovation,TRUE
aayushgarg@umass.edu,MindMesh,Healthcare Tech,TRUE
aayushgarg@umass.edu,PixelPioneer,Design & Creativity,TRUE
aayushgarg@umass.edu,CyberFlux,Cybersecurity,FALSE
aayushgarg@umass.edu,AquaSense,AI/ML,TRUE
aayushgarg@umass.edu,DynoBot,Robotics,FALSE
